"active:fishing","161d6fa3-e625-4748-a04f-051c39534a08","AG-TFB8FPW7","""http://www.buttsmillfarm.com/""","""Butts Mill Farm""","204"
"active","46fa90d4-bbd0-4b89-82ae-08dd2cac05c6","AG-QHHLH42L","""http://www.davita.com/find-a-dialysis-center/davita-omaha-harrison-at-home/6610-s-168th-st-omaha-68135-5418/id/5850/dva/1""","""DaVita Omaha Harrison Dialysis""","47"
"active:fitness","a864a58b-8100-485e-915a-472645daa762","AG-RTQBQGJG","""http://www.inshape.com/health-clubs/in-shape-stockton-west-lane""","""In-Shape Health Clubs""","385"
"active","f1515864-a1e3-4066-9114-ae0711aa46e0","AG-RSR48HCT","""http://www.epleys.com/""","""Epleys River Rafting""","409"
"active:fitness:martialarts","c7c37427-99b6-4f32-b497-c2de1cff866f","AG-VT68293Z","""http://www.promartialarts.com/naperville/""","""Pro Martial Arts - Naperville""","377"
"active","04738372-0b91-4891-aa60-67fc2b37bd64","AG-TVF28MGV","""http://www.9roundvancouver.com/""","""9round""","385"
"active:fitness:gyms","85d555b3-05c2-4b70-b5b6-9bd1f445cbed","AG-CG6WJF3Z","""http://kokofitclub.com/""","""Koko Fit Club""","385"
"active:fitness:gyms","01c836bd-bb90-4dd7-a44e-23a5c73afd5e","AG-N97KDTBG","""http://www.fitnessplussantafe.com/""","""Fitness Plus""","73"
"active","2628367f-772e-4bf4-9071-bc1546119b55","AG-XDX427F3","""http://www.dancencounters.com""","""Dance Encounters""","379"
"active","b9d0d8c9-d321-405c-a076-fc0e09d53e95","AG-Q29CDZ88","""http://www.beachfitfitness.com/""","""Beach Fit Fitness""","385"
"active","d832ba8c-670d-4e15-b2c5-387e9e9d4347","AG-ZLWH5RMP","""http://crossfitcyclone.com/""","""CrossFit Cyclone""","385"
"active:diving:scuba","0f13ab9c-2bbb-4278-8bd6-9f7063e0e0cf","AG-S9Q973XG","""http://www.adventurelocators.com/""","""Adventure Locators, LLC.""","412"
"active:fitness:gyms","c0c84900-cb26-4bb3-9e07-852096fa5c9e","AG-K5F5R9Z7","""http://www.fitnessconnectionusa.com/ballantyne""","""Fitness Connection - Ballantyne""","385"
"active","c4932c69-5557-470a-8698-514a19246a4e","AG-LSHW8CXQ","""http://www.iceboxmountainsports.com/""","""Icebox Mountain Sports""","403"
"active","83a374a3-86dc-4818-95bd-05a0db8d055d","AG-QRBZQR23","""http://www.robinnigrogolf.com""","""Robin Nigro Golf Academy""","451"
"active","66b6ba06-80b8-41de-a950-73e71b22f99b","AG-K7BSKB6S","""http://www.ywca-gi.org/""","""YWCA""","23"
"active:fitness:gyms","3c7751e8-ea22-43d1-bdca-3fa758b552a2","AG-Q9BVP8TC","""http://denverhealthfitness.com/""","""Denver Health & Fitness""","385"
"active","bbecf83d-43a6-46eb-93e1-27aa05905ea8","AG-NRQV9N5G","""http://www.lourdesimg.com/""","""Lourdes Imaging Network""","96"
"active:fitness","cf030ad0-e543-012e-d16a-002590044574","AG-NHV66B4N","""http://shapeyourlifestudios.com/""","""Shape Your Life Studios""","385"
"active:fitness:gyms","2789684b-db54-4010-8c39-ac2826d5a903","AG-N78VXL56","""http://www.thelittlegym.com/greensboronc""","""The Little Gym of Greensboro""","384"
"active:boating","405ae79e-be54-482c-89d3-a71c9342178a","AG-TJS6FMQS","""http://www.titusvillemarina.com/""","""Titusville Marina""","20"
"active","479f9ab7-7c5f-4a6a-88fc-f1c447334762","AG-NJ3W84H6","""http://freeheelandwheel.com/""","""Freeheel & Wheel""","170"
"active:basketballcourts","3d9bbab5-4f7e-49b3-b99f-3cefb62351b5","AG-MD4V2BTM","""http://ourgym.net/""","""The Gym""","385"
"active:boating","c6782d0b-72a7-44a7-9302-f8f499fd1098","AG-CPZ855VR","""http://www.boathouseboatrental.com/""","""The Boat House of Cape Coral Boat Rentals""","409"
"active:gymnastics","c86d0e8a-f9a7-449a-a2b7-4e78da33bd9d","AG-XD3JKH9S","""http://anytimefitness.com/moseslake""","""Anytime Fitness""","385"
"active:boating","69e043b2-ee78-4c07-883a-5ecf93afa555","AG-S36JLQG2","""http://www.adkkayakwarehouse.com""","""Adirondack Kayak Warehouse""","411"
"active","7daba8b0-1e18-012f-0643-0030487f54d8","AG-HZTBGFBJ","""http://www.casperwaterskiclub.com/Index.asp""","""Casper Water Ski Club""","430"
"active:golf","576fedd0-c0d2-435a-94c8-ff8c14fe0722","AG-FZDK28SK","""http://www.butlerparkpitchandputt.com/""","""Butler Park Pitch & Putt""","451"
"active","c89d8aa7-a004-43c5-a3e8-057724a4e4fa","AG-RF47ZSXQ","""http://www.peninsulagolfclub.com/""","""Peninsula Golf & Racquet Club""","451"
"active","2581ce09-fb9e-493f-ac7b-37c1e8dfeffe","AG-TQXGRV8Z","""http://www.myhcwc.com/""","""Holland Chiropractic Center""","68"
"active:fitness:healthtrainers","0d440832-fa51-4d41-8c69-e2d4b9eeafd0","AG-SPV27TV3","""http://www.opexfit.com/""","""OPEX Fitness""","385"
"active:fitness:gyms","6e62b0d6-d667-4318-bea9-94e0a3c9bf34","AG-LBB4ZCCT","""http://www.pureaustin.com/""","""Pure Austin Fitness""","385"
"active:fitness:gyms","2f6ade76-41bb-4544-86f4-f9d08c86af32","AG-N726DH9R","""http://motionfitnesssaskatoon.ca/""","""Motion Fitness Stonebridge""","385"
"active","28fb64ae-7165-4d3d-b195-5031efe6f395","AG-VFWNVMW5","""http://cityofroseshypnosis.com/""","""City Of Roses Hypnosis""","106"
"active:boating","239e0898-db7d-4567-9bca-a49f91b5517f","AG-P7J2MMTL","""https://www.boatfix.co/""","""Boat Fix""",""
"active:golf","1349b2d0-f3f7-4d76-a337-2b1bf198c8ec","AG-FSZ6BJVR","""http://www.mvrgolf.com""","""Moreno Valley Ranch Golf Club""","451"
"active:skatingrinks","15689309-076c-4de4-b59c-2a88c9b3f893","AG-M4BP4Z9D","""http://www.sbhotwheels.com/home.html""","""Hot Wheels Skating Palace""","402"
"active:fitness:martialarts","8f704224-7e15-4d2b-929a-9b3440252c1b","AG-L2GM6LZ4","""http://www.blackbeltkc.com/""","""Tamashii Black Belt Academy""","377"
"active","fd6d0b27-c765-4e55-987b-532aad87b06b","AG-W43T8CB9","null","""Hands On Health""","82"
"active","a1d87a54-7726-4c09-9544-ba289ae35262","AG-K63VJMF8","""http://birthdaysuittailor.com/""","""The Birthday Suit Tailor""","395"
"active:fitness:gyms","4ee45d44-b67e-4418-9d1f-90abc6ceab51","AG-L2NFLGQ2","""http://www.wahlumfit.com/""","""Wah Lum FIT""","377"
"active:fitness","7ec63aa7-4d7a-4eff-a969-c34215ef80fe","AG-XTTK7WTL","""https://vasafitness.com/trainers/location/provo/""","""VASA Fitness Provo""","385"
"active","0a50cbc8-bec1-482d-98e7-2ad18a867fe6","AG-KMKMJ67P","""http://www.lakemurraycountry.com/""","""Lake Murray Country Visitor's Center""","439"
"active","09a8eaeb-b2ce-420c-b477-8d2146d029a6","AG-WFZQFMLH","""http://www.flamanfitness.com""","""Flaman Fitness""","204"
"active:horsebackriding","b6570fba-daa9-431b-88b0-3cc196fabbb1","AG-LJVPM3ZN","""http://www.rockingmranchsavannah.com/""","""Rocking M Ranch""","217"
"active:fitness","10ef4178-2f3b-4da9-9bf1-0882b37a1687","AG-LLQL4PFG","""http://alkalignstudios.com/studio/los-altos/""","""Alkalign Studios""","385"
"active:fitness","1ae19df5-967b-44b2-a38c-f57380ff1adf","AG-VRWD7H6R","""http://www.scfpt.com""","""Silver Creek Fitness And Physical Therapy""","69"
"active:fitness:gyms","75393675-5639-4aa1-a103-5218bdcc8a6c","AG-LD4Q7J6F","""http://www.carlsontherapy.com/""","""Carlson Therapy Network, P.C.""","82"
"active:golf","2186046d-ba7f-4734-81c7-2fa1a56b9ead","AG-H3GHCBFQ","""http://www.heritageshores.com/""","""Heritage Shores""","451"
"active","a3d3f220-8288-4ad6-8fe2-94a68f14dd86","AG-RDXF7K7T","""http://www.crossfitcoppellcentral.com/?page/121347/home""","""CrossFit Coppell Central""","177"
"active","1508faca-0b60-4bd9-86c7-bcaa0b5bde1f","AG-DQ9NJQTD","""http://www.mawus.com""","""Martial Arts World""","377"
"active:fitness","9579512d-41ca-4eef-88fc-59144479197f","AG-PFL49XWR","""http://www.totalperformancesports.com/""","""Total Performance Sports""",""
"active:amusementparks","ae8c1a3e-3b95-4841-ab48-5b8dfac1efb5","AG-D284ZW3G","""http://seaworldparks.com/en/seaworld-sandiego/""","""SeaWorld San Diego""","353"
"active","e1d97a1f-30d7-4ac8-9af1-8aa4555a51b0","AG-VSBGQPL4","""http://www.fitness2000gym.com/""","""Fitness 2000""","385"
"active:fitness","a143255e-db4a-491d-92b5-58fea00247f1","AG-Z5MR4WSN","""http://www.synergystrength.ca/""","""SYNERGY Strength CrossFit Saskatoon""","106"
"active:aquariums","2245975c-bc9a-452f-842f-99bd0b3e13f7","AG-SM83LRCM","null","""test name""","123"
"active:fitness:dancestudio","3e16bb64-9787-4b66-9613-ae8e06bfffee","AG-K8Z6C3VM","""http://www.thelittlegym.com/twinsburgoh""","""The Little Gym of Twinsburg, OH""","385"
"active:fitness:swimminglessons","6b575a8e-6984-494e-831b-0b202d1d8db4","AG-GPQJ6PGK","""http://britishswimschool.com/locations/valencia-st-barnabas-crystal-conservatories/""","""British Swim School Pittsburgh""","413"
"active","83715d7e-c26b-4bfb-b114-c6014e6eeeea","AG-XQVXCGCM","""http://www.brooksspinal.com/""","""Brooks Spinal Care Chiropratic""","68"
"active","03e0f327-5151-4a76-9e11-535961a182dd","AG-WX68LJBF","""http://www.trinitymedicalmanagement.com/""","""Trinity Medical Management LLC""","177"
"active:amusementparks","0214d25c-4168-4b44-9846-b55bf4100478","AG-ZT2RDGQJ","""http://www.wetzonewaterpark.com/""","""Rowlett Wet Zone""","319"
"active","92fd539a-ded5-40c6-99fa-282645d02bbf","AG-PK86D2XB","""http://www.tuckahoeplantation.com/""","""Tuckahoe Plantation""","110"
"active","2efccf0f-c2c0-4bae-b279-75ca99c70a9b","AG-HKSHDT5F","""http://www.snapfitness.com/gyms/nipomo-ca-93444/1699""","""Snap Fitness Nipomo""","385"
"active:fitness","c3a1c0c2-1d6c-4ce9-a41e-0289fb7cd21a","AG-ZJ2WRHFF","""https://www.virtua.org/""","""Virtua Health Inc""","66"
"active:boating","5bc8fded-7a19-4bf7-9117-6ef40739d8d9","AG-SVC2ZDWS","""http://lakeshoremarinegeorgia.com""","""Lakeshore Marine Inc""","262"
"active:boating","16d78082-9a18-40dc-a276-d4198728b2ca","AG-SVC2ZDWS","""http://lakeshoremarinegeorgia.com""","""Lakeshore Marine Inc""","262"
"active:fitness:swimminglessons","78a0f921-e76a-43b0-90c5-bcee759b8d6f","AG-T7PGB75P","""http://britishswimschool.com/locations/gaithersburg-quince-orchard/""","""British Swim School""","385"
"active","46a5814f-3d70-42a9-8dbe-67bc2097f7ab","AG-ZGKCH2XT","""http://www.studiodbypaolosalon.com/""","""Studio-D by Paolo Salon""","280"
"active:fitness:yoga","72c1f5e5-85f9-45d5-b805-1d19c8bfaf58","AG-LGGG7VCM","""http://www.bigyogahouston.com/""","""Big Yoga""","414"
"active","acca8778-a36f-4618-b192-1149f65be13e","AG-S647VSST","null","""wrights riverside marine""","409"
"active:fitness:gyms","4f0f8bb4-62d4-437d-a5e9-c2fbf7203b12","AG-QGJV7TMG","""http://www.pocatelloathleticclub.com""","""Pocatello Athletic Club""","385"
"active","7518a7c0-1e18-012f-0643-0030487f54d8","AG-WPTG4MVP","""http://www.soderbergecc.webs.com/""","""Soderberg Eye Care Center""","466"
"active:fitness:gyms","5c74574c-60c5-4c02-b9d4-84c7b3268c2b","AG-ZKZJF8HG","""http://www.thelittlegym.com/gilbertaz""","""The Little Gym of Gilbert""","385"
"active:fitness:gyms","68a14edd-8ed7-42fd-bc7e-6e54f7355279","AG-J86MGFVJ","""http://www.thelittlegym.com/alexandriavdva""","""The Little Gym of Alexandria at Van Dorn""","384"
"active:skatingrinks","2882f791-47ef-44a2-82f0-2e76c4f48674","AG-XM4LBKXJ","""http://www.round-a-bout.com/""","""Round-A-Bout Skating Center- Eutaw Location""","402"
"active:fitness:martialarts","429ab367-ad94-403b-aefc-45b62f84c998","AG-QXKG329J","""http://robotfightfitness.com/""","""Robot Fight & Fitness""","377"
"active:fitness:swimminglessons","902c76c3-62ea-4aad-b72c-301e137452ea","AG-FGPZJRHQ","""http://britishswimschool.com/locations/miramar/""","""British Swim School Miramar""","413"
"active:swimmingpools","59a249ec-a8cd-4b70-ac02-f3368596f141","AG-PP49M5GZ","""http://galvinpools.com/""","""Galvin Pools & Backyard Paradise LLC""","260"
"active:fitness:dancestudio","bfbce35d-7823-4fed-899c-062bd64a866f","AG-BF5XJ8WZ","""http://www.artistryinmotionpac.com""","""Artistry in Motion Performing Arts Center""","395"
"active:fitness:gyms","50d088fa-e928-4ac7-82b8-7f14e0a25e5e","AG-NXCFW9W8","""http://www.thelittlegym.com/montgomeryhillsboroughNJ""","""The Little Gym of Montgomery/Hillsborough""",""
"active:golf","34ed01fc-9c7c-449a-a5b7-5a5213596820","AG-W7KGKRLR","""http://www.augustinegolf.com/""","""Augustine Golf Club""","451"
"active:parks","dde47499-bb9b-484d-a651-bd76c8b71d7a","AG-P3K5ZRSN","""http://www.crowriverwinery.com/""","""Crow River Winery, LLC""","370"
"active","0ae25d68-fc1f-4f0c-a1e2-e23a59171663","AG-XHFRMMQP","""http://cyclesetc.us/""","""Cycles Etc""","129"
"active","09e38c66-7743-4ef0-b684-07fe21d945c7","AG-JP9FG2C7","""http://www.titleboxingclub.com/carrollwood-fl/class-schedule/""","""Title Boxing Club""","385"
"active","ece05b6b-7ce8-4b22-98e6-f1ddd71d8db7","AG-C8K3T6RV","""https://www.lifetimefitness.com/en/clubs/life-time-athletic-dallas/your-lt.html""","""Lifetime""","385"
"active:golf","34a9f8e8-7aac-435d-b538-582cd4fbdede","AG-KLB2Z79T","""http://www.joeydgolf.com/""","""Joey D Golf""","451"
"active","5f5b810a-0afd-4652-b126-7d9c77273d21","AG-TQSCQCBR","""http://www.golfacademy.edu/golf-school-locations/myrtle_beach.cfm""","""Golf Academy of America Myrtle Beach""","34"
"active:fitness:gyms","42124f17-8be1-40a2-bf47-75cdd979c9c6","AG-PDRPNS56","""http://www.thelittlegym.com/friscotx""","""The Little Gym of Frisco""","385"
"active","346fabef-54d4-4d7a-a2f3-ef87f957e654","AG-QKRVHDGS","""http://www.thebikedr.com/""","""Bike Doctor""","129"
"active:fitness","5302b3d2-e7e4-4c1b-a025-e5823e83753c","AG-VT5FJNQT","""http://www.abalancedbodystudio.com/""","""A Balanced Body Inc""","395"
"active:fitness:gyms","23e526e2-ab86-4060-a7fd-528bff2cd1a0","AG-G55C9BS7","""http://www.thelittlegym.com/mckinneytx""","""The Little Gym of McKinney""","385"
"active","0547390a-9b82-4cbb-af63-ef2f6d5dd71b","AG-DR57ZDRB","""http://www.adknautilus.com/""","""Adirondack Nautilus""","385"
"active","cae07e56-c72d-4b94-94ec-388d9e31ffec","AG-BJH7JPH9","""http://www.homeinstead.com/657""","""Home Instead Senior Care: Auburn""","65"
"active:gun_ranges","25df9712-8850-4b80-904d-06aaad1bba47","AG-TKKM3MQC","""http://www.360tacticaltraining.com/""","""360 Tactical Training""","26"
"active:fitness:gyms","11ec3e9a-a648-4593-a28d-aa2c69fb263b","AG-R7TP2HRF","""http://www.achievefitnessaiken.com/""","""Achieve Fitness""","385"
"active","ccb73ad9-c7e8-4f82-89eb-14294a8d8c85","AG-G28PFHDL","""http://category5fitness.com/""","""Category Five Fitness - CrossFit Style. Better Results.""","372"
"active","db72caa3-0d00-4f9b-b44e-a7c515342d2f","AG-QMDX8CBX","null","""Illinois Valley Golf Course""","451"
"active","7c01ae29-f649-41a8-9d89-d74f186229be","AG-PRZ8WKS8","""http://u2getwell.com/""","""U 2 Get Well Health Partners""","68"
"active:discgolf","0293c786-f219-41fb-b59c-299480fa4eb5","AG-DPLCL668","""http://crookedtreegolfcourse.net/""","""Crooked Tree Golf Course""","451"
"active:golf","59e0ed94-18bd-427d-94a4-04fdb61e2d43","AG-HHCBRRVQ","""http://www.tricitiesgc.com/""","""Tri-Cities Golf Club""","451"
"active","621e92ef-6149-44ba-bdbc-18af4a9369bd","AG-FMBRMCX8","""http://langleyhospice.com/""","""Langley Hospice Society""","79"
"active:fishing","bffdd681-b6fc-4953-ad58-52d77d9eec92","AG-T48KS24Z","""http://www.lmrtackle.com/""","""LMR Custom Rods & Tackle""","170"
"active:golf","2acb4e02-940c-4d13-b42e-0ce87476e63b","AG-HD958MFL","""http://www.golfshoreline.com""","""Shoreline Golf Course""","451"
"active","4cc88865-72aa-408c-aa62-621ce651ea17","AG-K5H3M3WB","""http://www.woodburytaxidermy.com/""","""Woodbury Taxidermy""","230"
